ID,Sex,BY
1,female,3
2,male,3
3,male,3
4,male,3
5,female,3
6,female,3
7,male,3
8,female,3
9,male,3
10,male,3
11,male,3
12,male,3
13,female,3
14,male,3
15,female,3
16,male,3
17,female,3
18,female,3
19,female,3
20,female,3
21,male,3
22,male,3
23,male,3
24,male,3
25,female,2
26,female,2
27,female,3
28,female,3
29,male,3
30,male,3
31,female,3
32,male,3
33,female,3
34,female,3
35,female,3
36,male,3
37,male,3
38,female,3
39,male,3
40,male,3
41,female,3
42,female,3
43,male,3
1_D,female,1
2_D,female,1
3_D,female,1
4_D,female,1
5_D,female,1
6_D,female,1
7_D,female,1
8_D,female,1
9_D,female,1
10_D,female,1
11_D,female,1
12_D,female,1
13_D,female,1
14_D,female,1
15_D,female,1
16_D,female,1
17_D,female,1
18_D,female,1
19_D,female,1
20_D,female,1
21_D,female,1
22_D,female,1
23_D,female,1
24_D,female,1
25_D,female,1
27_D,female,1
30_D,female,1
31_D,female,1
32_D,female,1
33_D,female,1
34_D,female,1
35_D,female,1
36_D,female,1
37_D,female,1
38_D,female,1
39_D,female,1
40_D,female,1
41_D,female,1
42_D,female,1
43_D,female,1
1_S,male,1
2_S,male,1
3_S,male,1
4_S,male,1
5_S,male,1
6_S,male,1
7_S,male,1
8_S,male,1
10_S,male,1
11_S,male,1
12_S,male,1
13_S,male,1
14_S,male,1
15_S,male,1
16_S,male,1
17_S,male,1
18_S,male,1
19_S,male,1
20_S,male,1
21_S,male,1
22_S,male,1
23_S,male,1
24_S,male,1
25_S,male,1
27_S,male,1
28_S,male,1
30_S,male,1
31_S,male,1
32_S,male,1
33_S,male,1
34_S,male,1
35_S,male,1
36_S,male,1
37_S,male,1
38_S,male,1
39_S,male,1
40_S,male,1
41_S,male,1
42_S,male,1
43_S,male,1
