ID	Population
10345	Wood
2009005885	Plains
AL704	Wood
Angus_01	Cattle
Angus_02	Cattle
Angus_04	Cattle
Angus_05	Cattle
Angus_06	Cattle
Angus_07	Cattle
Angus_08	Cattle
Angus_10	Cattle
Bbubalis_SRR7284794_toBt9	B. Bubalis
CCSP48_toBt9	Plains
CCSP50_toBt9	Plains
CCSP61_toBt9	Plains
CCSP662	Plains
CCSP667	Plains
CCSP68_toBt9	Plains
CMNMA10420	Plains
CMNMA55398	Plains
CMNMA55399	Plains
CMNMA7	Plains
CPB1803	Plains
CPB5591	Plains
CPB8833	Plains
Charolais_03	Cattle
Charolais_04	Cattle
Charolais_06	Cattle
Charolais_07	Cattle
EIP828	Plains
EIP872	Plains
EIW151_toBt9	Wood
EIW233_toBt9	Wood
EIW26_toBt9	Wood
EIW788	Wood
EIW789	Wood
EIW95_toBt9	Wood
Hereford_02	Cattle
Hereford_03	Cattle
Hereford_04	Cattle
Hereford_05	Cattle
Hereford_06	Cattle
Hereford_09	Cattle
Holstein_03	Cattle
Holstein_06	Cattle
Holstein_08	Cattle
RRYNP2	Plains
S6_toBt9	Plains
S9_toBt9	Plains
SCI612	Plains
SCI662	Plains
Templeton_1_toBt9	Plains
WB1896	Wood
WB299	Wood
WB4538	Wood
WB625	Wood
WBNP700	Wood
WC525	Plains
WC530	Plains
YNP1856_1_toBt9	Plains
YNP1861_1_toBt9	Plains
YNP5899	Plains
